2012/02/24 14:12:39 - Connecting to AWS region us-west-2.
2012/02/24 14:12:39 - Calculating new unique cluster name for request 155.
2012/02/24 14:12:40 - Creating new cluster name, Thor-3WZ6.
2012/02/24 14:12:40 - Creating Thor-3WZ6 security group.
2012/02/24 14:12:43 - Creating Thor-3WZ6 key pair.
2012/02/24 14:12:44 - Launching 11 m1.large nodes using ami-94b33ea4.
2012/02/24 14:12:45 - Reservation ID r-905419a0 created.
2012/02/24 14:12:45 - Waiting for 11 of 11 nodes to launch.
2012/02/24 14:12:53 - Waiting for 11 of 11 nodes to launch.
2012/02/24 14:13:01 - Waiting for 11 of 11 nodes to launch.
2012/02/24 14:13:09 - Waiting for 10 of 11 nodes to launch.
2012/02/24 14:13:17 - Waiting for 1 of 11 nodes to launch.
2012/02/24 14:13:22 - Pending instances have completed.
2012/02/24 14:13:22 - Checking each node launched properly.
2012/02/24 14:14:36 - 50.112.51.239:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/24 14:14:36 - 50.112.51.239:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/02/24 14:14:36 - 50.112.46.215:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/24 14:14:36 - 50.112.46.215:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/02/24 14:14:36 - 50.112.29.140:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/24 14:14:36 - 50.112.29.140:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/02/24 14:14:36 - 50.112.49.97:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/24 14:14:36 - 50.112.49.97:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/02/24 14:14:36 - 50.112.20.200:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/24 14:14:36 - 50.112.20.200:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/02/24 14:14:36 - 50.112.5.127:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/24 14:14:36 - 50.112.5.127:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/02/24 14:14:36 - 50.112.16.56:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/24 14:14:36 - 50.112.16.56:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/02/24 14:14:36 - 50.112.29.209:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
