2012/11/18 23:02:10 - Connecting to AWS region us-west-2.
2012/11/18 23:02:10 - Calculating new unique cluster name for request 403.
2012/11/18 23:02:11 - Creating new cluster name, Hpcc-4RHN.
2012/11/18 23:02:11 - Creating Hpcc-4RHN security group.
2012/11/18 23:02:14 - Creating Hpcc-4RHN key pair.
2012/11/18 23:02:15 - Launching 18 m1.large nodes using ami-e01698d0.
2012/11/18 23:02:15 - Reservation ID r-9d3711ae created.
2012/11/18 23:02:15 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:02:25 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:02:34 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:02:43 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:02:52 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:03:01 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:03:11 - Waiting for 14 of 18 nodes to launch.
2012/11/18 23:03:20 - Waiting for 10 of 18 nodes to launch.
2012/11/18 23:03:27 - Waiting for 6 of 18 nodes to launch.
2012/11/18 23:03:34 - Waiting for 4 of 18 nodes to launch.
2012/11/18 23:03:40 - Waiting for 2 of 18 nodes to launch.
2012/11/18 23:03:45 - Waiting for 2 of 18 nodes to launch.
2012/11/18 23:03:51 - Waiting for 2 of 18 nodes to launch.
2012/11/18 23:03:56 - Waiting for 1 of 18 nodes to launch.
2012/11/18 23:04:01 - Waiting for 1 of 18 nodes to launch.
2012/11/18 23:04:07 - Waiting for 1 of 18 nodes to launch.
2012/11/18 23:04:12 - Waiting for 1 of 18 nodes to launch.
2012/11/18 23:04:17 - Waiting for 1 of 18 nodes to launch.
2012/11/18 23:04:22 - Pending instances have completed.
2012/11/18 23:04:22 - Checking each node launched properly.
2012/11/18 23:08:28 - Remote file contents confirmed.
2012/11/18 23:08:29 - No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/18 23:08:29 - Writing cluster private ip addresses to file on instance.
2012/11/18 23:08:29 - Sending /etc/HPCCSystems/source/ips.txt via SFTP.
2012/11/18 23:08:29 - Copying /etc/HPCCSystems/source/ips.txt to desitnation.
2012/11/18 23:08:29 - Checking file contents.
2012/11/18 23:08:30 - Remote file contents confirmed.
2012/11/18 23:08:30 - Running envgen
2012/11/18 23:08:31 - Reading the config file.
2012/11/18 23:08:31 - Retrieving IP address of ESP Server.
2012/11/18 23:08:32 - ESP Server private IP address: 10.244.136.247.
2012/11/18 23:08:32 - ESP Server public IP address: 50.112.72.69.
2012/11/18 23:08:32 - 50.112.80.11:    Starting node configuration.
2012/11/18 23:08:32 - 50.112.72.69:    Starting node configuration.
2012/11/18 23:08:32 - 50.112.80.11:    Connecting via SSH.
2012/11/18 23:08:32 - 50.112.72.69:    Connecting via SSH.
2012/11/18 23:08:32 - 50.112.80.15:    Starting node configuration.
2012/11/18 23:08:32 - 50.112.80.15:    Connecting via SSH.
2012/11/18 23:08:32 - 50.112.32.16:    Starting node configuration.
2012/11/18 23:08:32 - 54.245.28.175:   Starting node configuration.
2012/11/18 23:08:32 - 50.112.80.14:    Starting node configuration.
2012/11/18 23:08:32 - 50.112.80.14:    Connecting via SSH.
2012/11/18 23:08:32 - 54.245.28.175:   Connecting via SSH.
2012/11/18 23:08:32 - 50.112.32.16:    Connecting via SSH.
2012/11/18 23:08:32 - 50.112.75.1:     Starting node configuration.
2012/11/18 23:08:32 - 50.112.10.119:   Starting node configuration.
2012/11/18 23:08:32 - 50.112.10.119:   Connecting via SSH.
2012/11/18 23:08:32 - 50.112.75.1:     Connecting via SSH.
2012/11/18 23:08:32 - 54.245.128.129:  Starting node configuration.
2012/11/18 23:08:32 - 50.112.67.14:    Starting node configuration.
2012/11/18 23:08:32 - 54.245.128.129:  Connecting via SSH.
2012/11/18 23:08:32 - 50.112.67.14:    Connecting via SSH.
2012/11/18 23:08:32 - 50.112.25.20:    Starting node configuration.
2012/11/18 23:08:32 - 50.112.40.106:   Starting node configuration.
2012/11/18 23:08:32 - 50.112.40.106:   Connecting via SSH.
2012/11/18 23:08:32 - 50.112.25.20:    Connecting via SSH.
2012/11/18 23:08:32 - 50.112.213.21:   Starting node configuration.
2012/11/18 23:08:32 - 50.112.214.189:  Starting node configuration.
2012/11/18 23:08:32 - 50.112.214.189:  Connecting via SSH.
