2013/05/20 09:48:07 - Connecting to AWS region us-west-2.
2013/05/20 09:48:07 - Calculating new unique cluster name for request 602.
2013/05/20 09:48:08 - Creating new cluster name, Hpcc-P2R7.
2013/05/20 09:48:08 - Creating Hpcc-P2R7 security group.
2013/05/20 09:48:11 - Creating Hpcc-P2R7 key pair.
2013/05/20 09:48:12 - Launching 11 m1.large nodes using ami-c1ca5cf1.
2013/05/20 09:48:13 - Reservation ID r-03051131 created.
2013/05/20 09:48:13 - Waiting for 11 of 11 nodes to launch.
2013/05/20 09:48:21 - Waiting for 11 of 11 nodes to launch.
2013/05/20 09:48:28 - Waiting for 11 of 11 nodes to launch.
2013/05/20 09:48:36 - Waiting for 11 of 11 nodes to launch.
2013/05/20 09:48:43 - Waiting for 11 of 11 nodes to launch.
2013/05/20 09:48:50 - Waiting for 11 of 11 nodes to launch.
2013/05/20 09:48:58 - Waiting for 11 of 11 nodes to launch.
2013/05/20 09:49:06 - Waiting for 9 of 11 nodes to launch.
2013/05/20 09:49:13 - Waiting for 7 of 11 nodes to launch.
2013/05/20 09:49:20 - Waiting for 3 of 11 nodes to launch.
2013/05/20 09:49:25 - Pending instances have completed.
2013/05/20 09:49:25 - Checking each node launched properly.
2013/05/20 09:50:10 - 54.214.77.58:    Copying /etc/HPCCSystems/environment.xml to desitnation.
2013/05/20 09:50:11 - 54.214.135.161:  Copying /etc/HPCCSystems/environment.xml to desitnation.
2013/05/20 09:50:11 - 54.244.218.166:  Copying /etc/HPCCSystems/environment.xml to desitnation.
2013/05/20 09:50:11 - 54.214.69.120:   Checking file contents.
2013/05/20 09:50:11 - 54.245.207.120:  Checking file contents.
2013/05/20 09:50:11 - 54.245.153.228:  Checking file contents.
2013/05/20 09:50:11 - 54.214.68.113:   Checking file contents.
2013/05/20 09:50:11 - 54.245.163.138:  Checking file contents.
2013/05/20 09:50:11 - 54.214.135.161:  Checking file contents.
2013/05/20 09:50:11 - 54.214.77.58:    Checking file contents.
2013/05/20 09:50:11 - 54.244.218.166:  Checking file contents.
2013/05/20 09:50:11 - 54.214.69.120:   Remote file contents confirmed.
2013/05/20 09:50:11 - 54.214.69.120:   Starting HPCC Platform Community Edition: 3.10.6-1.
2013/05/20 09:50:11 - 54.245.153.228:  Remote file contents confirmed.
2013/05/20 09:50:11 - 54.245.153.228:  Starting HPCC Platform Community Edition: 3.10.6-1.
2013/05/20 09:50:11 - 54.245.207.120:  Remote file contents confirmed.
2013/05/20 09:50:11 - 54.245.207.120:  Starting HPCC Platform Community Edition: 3.10.6-1.
2013/05/20 09:50:11 - 54.214.68.113:   Remote file contents confirmed.
2013/05/20 09:50:11 - 54.214.68.113:   Starting HPCC Platform Community Edition: 3.10.6-1.
2013/05/20 09:50:11 - 54.245.163.138:  Remote file contents confirmed.
2013/05/20 09:50:11 - 54.245.163.138:  Starting HPCC Platform Community Edition: 3.10.6-1.
2013/05/20 09:50:11 - 54.214.77.58:    Remote file contents confirmed.
2013/05/20 09:50:11 - 54.214.77.58:    Starting HPCC Platform Community Edition: 3.10.6-1.
2013/05/20 09:50:11 - 54.214.135.161:  Remote file contents confirmed.
2013/05/20 09:50:11 - 54.214.135.161:  Starting HPCC Platform Community Edition: 3.10.6-1.
2013/05/20 09:50:11 - 54.244.218.166:  Remote file contents confirmed.
