2015/11/09 11:48:23 - Connecting to AWS region us-west-2.
2015/11/09 11:48:23 - Calculating new unique cluster name for request 1170.
2015/11/09 11:48:23 - Creating new cluster name, Hpcc-VUHX.
2015/11/09 11:48:23 - Creating Hpcc-VUHX security group.
2015/11/09 11:48:26 - Creating Hpcc-VUHX key pair.
2015/11/09 11:48:26 - Launching 14 m1.large nodes using ami-de1700bf.
2015/11/09 11:48:27 - Reservation ID r-380701cf created.
2015/11/09 11:48:27 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:48:35 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:48:43 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:48:51 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:48:58 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:49:05 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:49:12 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:49:19 - Waiting for 13 of 14 nodes to launch.
2015/11/09 11:49:26 - Waiting for 13 of 14 nodes to launch.
2015/11/09 11:49:33 - Waiting for 12 of 14 nodes to launch.
2015/11/09 11:49:41 - Waiting for 4 of 14 nodes to launch.
2015/11/09 11:49:47 - Waiting for 1 of 14 nodes to launch.
2015/11/09 11:49:52 - Pending instances have completed.
2015/11/09 11:49:52 - Checking each node launched properly.
2015/11/09 11:50:22 - 52.33.159.255:   Connecting via SSH.
2015/11/09 11:50:22 - 52.33.177.76:    Connecting via SSH.
2015/11/09 11:50:22 - 52.24.88.35:     Starting node configuration.
2015/11/09 11:50:22 - 52.33.187.122:   Starting node configuration.
2015/11/09 11:50:22 - 52.33.174.173:   Starting node configuration.
2015/11/09 11:50:22 - 52.33.167.87:    Starting node configuration.
2015/11/09 11:50:22 - 52.33.187.122:   Connecting via SSH.
2015/11/09 11:50:22 - 52.33.174.173:   Connecting via SSH.
2015/11/09 11:50:22 - 52.33.177.248:   Starting node configuration.
2015/11/09 11:50:22 - 52.33.144.1:     Starting node configuration.
2015/11/09 11:50:22 - 52.33.144.1:     Connecting via SSH.
2015/11/09 11:50:22 - 52.26.213.247:   Connecting via SSH.
2015/11/09 11:50:22 - 52.33.167.87:    Connecting via SSH.
2015/11/09 11:50:22 - 52.24.88.35:     Connecting via SSH.
2015/11/09 11:50:22 - 52.33.157.172:   Connecting via SSH.
2015/11/09 11:50:22 - 52.33.177.248:   Connecting via SSH.
2015/11/09 11:50:22 - 52.33.152.89:    Starting node configuration.
2015/11/09 11:50:22 - 52.33.152.89:    Connecting via SSH.
2015/11/09 11:50:22 - 52.33.155.98:    Starting node configuration.
2015/11/09 11:50:22 - 52.33.155.98:    Connecting via SSH.
2015/11/09 11:50:23 - 52.24.88.35:     Checking software installation completed.
2015/11/09 11:50:24 - 52.33.127.177:   Checking software installation completed.
