2013/09/12 17:00:17 - 54.214.137.21:   Connecting via SSH.
2013/09/12 17:00:17 - 54.212.160.99:   Connecting via SSH.
2013/09/12 17:00:17 - 54.218.148.232:  Connecting via SSH.
2013/09/12 17:00:17 - 54.214.93.253:   Starting node configuration.
2013/09/12 17:00:17 - 54.245.179.246:  Starting node configuration.
2013/09/12 17:00:17 - 54.245.18.73:    Connecting via SSH.
2013/09/12 17:00:17 - 54.245.22.144:   Starting node configuration.
2013/09/12 17:00:17 - 54.214.93.253:   Connecting via SSH.
2013/09/12 17:00:17 - 54.245.179.246:  Connecting via SSH.
2013/09/12 17:00:17 - 54.212.77.219:   Starting node configuration.
2013/09/12 17:00:17 - 54.212.77.219:   Connecting via SSH.
2013/09/12 17:00:17 - 54.245.155.232:  Starting node configuration.
2013/09/12 17:00:17 - 54.214.195.4:    Starting node configuration.
2013/09/12 17:00:17 - 54.245.155.232:  Connecting via SSH.
2013/09/12 17:00:17 - 54.214.195.4:    Connecting via SSH.
2013/09/12 17:00:17 - 54.212.164.156:  Starting node configuration.
2013/09/12 17:00:17 - 54.245.22.144:   Connecting via SSH.
2013/09/12 17:00:17 - 54.218.164.162:  Starting node configuration.
2013/09/12 17:00:17 - 54.212.164.156:  Connecting via SSH.
2013/09/12 17:00:17 - 54.218.164.162:  Connecting via SSH.
2013/09/12 17:00:17 - 54.214.124.236:  Starting node configuration.
2013/09/12 17:00:17 - 54.214.124.236:  Connecting via SSH.
2013/09/12 17:00:20 - 54.214.93.253:   Checking software installation completed.
2013/09/12 17:00:20 - 54.214.195.4:    Checking software installation completed.
2013/09/12 17:00:20 - 54.245.18.73:    Checking software installation completed.
2013/09/12 17:00:20 - 54.245.57.183:   Checking software installation completed.
2013/09/12 17:00:20 - 54.245.179.246:  Checking software installation completed.
2013/09/12 17:00:20 - 54.218.164.162:  Checking software installation completed.
2013/09/12 17:00:20 - 54.212.160.99:   Checking software installation completed.
2013/09/12 17:00:20 - 54.245.221.118:  Checking software installation completed.
2013/09/12 17:00:20 - 54.218.148.232:  Checking software installation completed.
2013/09/12 17:00:20 - 54.214.117.100:  Checking software installation completed.
2013/09/12 17:00:20 - 54.214.93.253:   Software installation finished.
2013/09/12 17:00:20 - 54.214.93.253:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 17:00:20 - 54.245.155.232:  Checking software installation completed.
2013/09/12 17:00:20 - 54.212.164.156:  Checking software installation completed.
2013/09/12 17:00:20 - 54.245.22.144:   Checking software installation completed.
2013/09/12 17:00:20 - 54.214.137.21:   Checking software installation completed.
2013/09/12 17:00:20 - 54.214.195.4:    Software installation finished.
2013/09/12 17:00:20 - 54.214.195.4:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 17:00:20 - 54.214.184.199:  Checking software installation completed.
2013/09/12 17:00:20 - 54.245.18.73:    Software installation finished.
2013/09/12 17:00:20 - 54.245.18.73:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 17:00:20 - 54.245.57.183:   Software installation finished.
2013/09/12 17:00:20 - 54.245.57.183:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 17:00:20 - 54.245.179.246:  Software installation finished.
2013/09/12 17:00:20 - 54.245.179.246:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 17:00:20 - 54.218.164.162:  Software installation finished.
2013/09/12 17:00:20 - 54.218.164.162:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 17:00:20 - 54.212.160.99:   Software installation finished.
2013/09/12 17:00:20 - 54.212.160.99:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 17:00:20 - 54.214.124.236:  Checking software installation completed.
2013/09/12 17:00:20 - 54.244.110.95:   Checking software installation completed.
2013/09/12 17:00:20 - 54.245.221.118:  Software installation finished.
2013/09/12 17:00:20 - 54.245.221.118:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 17:00:20 - 54.245.155.232:  Software installation finished.
2013/09/12 17:00:20 - 54.245.155.232:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 17:00:20 - 54.214.117.100:  Software installation finished.
2013/09/12 17:00:20 - 54.214.117.100:  Sending /home/ubuntu/node_health_script via SFTP.
