2014/07/13 15:13:43 - Connecting to AWS region us-east-1.
2014/07/13 15:13:43 - Calculating new unique cluster name for request 852.
2014/07/13 15:13:43 - Creating new cluster name, Hpcc-96MS.
2014/07/13 15:13:43 - Creating Hpcc-96MS security group.
2014/07/13 15:23:27 - 50.17.18.69:     Copying /etc/HPCCSystems/environment.xml to desitnation.
2014/07/13 15:23:27 - 54.90.28.68:     Copying /etc/HPCCSystems/environment.xml to desitnation.
2014/07/13 15:23:27 - 54.91.178.110:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/07/13 15:23:27 - 54.91.178.110:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2014/07/13 15:23:27 - 54.87.170.247:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/07/13 15:23:27 - 54.87.170.247:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2014/07/13 15:23:27 - 54.242.137.197:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/07/13 15:23:27 - 54.242.137.197:  Sending /etc/HPCCSystems/environment.xml via SFTP.
2014/07/13 15:23:27 - 54.90.83.129:    Copying /etc/HPCCSystems/environment.xml to desitnation.
2014/07/13 15:23:27 - 54.83.134.225:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/07/13 15:23:27 - 54.83.134.225:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2014/07/13 15:23:27 - 54.90.28.68:     Checking file contents.
2014/07/13 15:23:27 - 54.91.178.110:   Copying /etc/HPCCSystems/environment.xml to desitnation.
