2013/05/14 16:47:32 - 54.214.73.177:   Completed check of node 54.214.73.177.
2013/05/14 16:47:32 - 54.244.147.74:   Checking EC2 instance i-48348b7d.
2013/05/14 16:47:32 - 54.214.58.86:    Completed check of node 54.214.58.86.
2013/05/14 16:47:32 - 54.214.115.191:  Checking EC2 instance i-4a348b7f.
2013/05/14 16:47:32 - 54.214.116.125:  Checking EC2 instance is running.
2013/05/14 16:47:32 - 54.214.116.125:  Connecting via SSH.
2013/05/14 16:47:32 - 54.244.147.234:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/14 16:47:32 - 54.244.147.234:  Completed check of node 54.244.147.234.
2013/05/14 16:47:32 - 54.214.64.196:   Checking EC2 instance i-b4348b81.
2013/05/14 16:47:32 - 54.244.196.171:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/14 16:47:32 - 54.244.196.171:  Completed check of node 54.244.196.171.
2013/05/14 16:47:32 - 54.245.140.192:  Checking EC2 instance i-b6348b83.
2013/05/14 16:47:32 - 54.245.185.167:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/14 16:47:32 - 54.245.185.167:  Completed check of node 54.245.185.167.
2013/05/14 16:47:32 - 54.245.138.94:   Checking EC2 instance i-b0348b85.
2013/05/14 16:47:32 - 54.244.76.9:     Checking EC2 instance is running.
2013/05/14 16:47:32 - 54.244.76.9:     Connecting via SSH.
2013/05/14 16:47:32 - 54.244.142.177:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/14 16:47:32 - 54.244.142.177:  Completed check of node 54.244.142.177.
2013/05/14 16:47:32 - 50.112.70.74:    Checking EC2 instance i-b2348b87.
2013/05/14 16:47:32 - 54.245.71.51:    Checking EC2 instance is running.
2013/05/14 16:47:32 - 54.245.71.51:    Connecting via SSH.
2013/05/14 16:47:32 - 54.214.116.120:  Checking EC2 instance is running.
2013/05/14 16:47:32 - 54.214.116.120:  Connecting via SSH.
2013/05/14 16:47:32 - 54.245.17.37:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/14 16:47:32 - 54.245.17.37:    Completed check of node 54.245.17.37.
2013/05/14 16:47:32 - 54.245.9.186:    Checking EC2 instance i-bc348b89.
2013/05/14 16:47:32 - 50.112.36.176:   Checking EC2 instance is running.
2013/05/14 16:47:32 - 50.112.36.176:   Connecting via SSH.
2013/05/14 16:47:32 - 54.244.180.126:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/14 16:47:32 - 54.214.58.102:   Software installation finished.
2013/05/14 16:47:32 - 54.214.58.102:   Sending /home/ubuntu/node_health_script via SFTP.
2013/05/14 16:47:32 - 54.244.216.77:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/14 16:47:32 - 54.244.147.74:   Checking EC2 instance is running.
2013/05/14 16:47:32 - 54.244.147.74:   Connecting via SSH.
2013/05/14 16:47:32 - 54.245.153.228:  Checking EC2 instance is running.
2013/05/14 16:47:32 - 54.245.153.228:  Connecting via SSH.
2013/05/14 16:47:32 - 54.214.61.38:    Checking software installation completed.
2013/05/14 16:47:32 - 50.112.83.31:    Remote file contents confirmed.
2013/05/14 16:47:32 - 54.244.180.126:  Completed check of node 54.244.180.126.
2013/05/14 16:47:32 - 54.245.169.44:   Checking EC2 instance i-be348b8b.
2013/05/14 16:47:32 - 54.245.137.14:   Software installation finished.
2013/05/14 16:47:32 - 54.245.137.14:   Sending /home/ubuntu/node_health_script via SFTP.
2013/05/14 16:47:32 - 54.244.216.77:   Completed check of node 54.244.216.77.
2013/05/14 16:47:32 - 54.214.74.75:    Checking EC2 instance i-b8348b8d.
2013/05/14 16:47:32 - 54.245.140.192:  Checking EC2 instance is running.
