2014/06/17 15:39:24 - Connecting to AWS region us-west-2.
2014/06/17 15:39:24 - Calculating new unique cluster name for request 819.
2014/06/17 15:39:25 - Creating new cluster name, Hpcc-5SB4.
2014/06/17 15:39:25 - Creating Hpcc-5SB4 security group.
2014/06/17 15:39:27 - Creating Hpcc-5SB4 key pair.
2014/06/17 15:39:29 - Launching 20 m1.large nodes using ami-2aadc71a.
2014/06/17 15:39:30 - Reservation ID r-32837139 created.
2014/06/17 15:39:30 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:39:38 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:39:45 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:39:53 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:00 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:07 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:15 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:22 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:30 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:37 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:45 - Waiting for 17 of 20 nodes to launch.
2014/06/17 15:40:53 - Waiting for 1 of 20 nodes to launch.
2014/06/17 15:40:58 - Pending instances have completed.
2014/06/17 15:40:58 - Checking each node launched properly.
2014/06/17 15:41:44 - 54.188.183.179:  Connecting via SSH.
2014/06/17 15:41:44 - 54.185.206.134:  Starting node configuration.
2014/06/17 15:41:44 - 50.112.70.229:   Connecting via SSH.
2014/06/17 15:41:44 - 54.189.149.232:  Starting node configuration.
2014/06/17 15:41:44 - 54.188.41.161:   Starting node configuration.
2014/06/17 15:41:44 - 54.214.83.219:   Starting node configuration.
2014/06/17 15:41:44 - 54.218.218.172:  Starting node configuration.
2014/06/17 15:41:44 - 54.189.149.232:  Connecting via SSH.
2014/06/17 15:41:44 - 54.203.199.248:  Starting node configuration.
2014/06/17 15:41:44 - 54.184.235.119:  Starting node configuration.
2014/06/17 15:41:44 - 54.203.171.125:  Starting node configuration.
2014/06/17 15:41:44 - 54.245.171.196:  Starting node configuration.
2014/06/17 15:41:44 - 54.245.171.196:  Connecting via SSH.
2014/06/17 15:41:44 - 54.218.201.135:  Starting node configuration.
2014/06/17 15:41:44 - 54.245.217.125:  Starting node configuration.
2014/06/17 15:41:44 - 54.203.4.97:     Connecting via SSH.
2014/06/17 15:41:44 - 54.188.41.161:   Connecting via SSH.
2014/06/17 15:41:44 - 54.203.199.248:  Connecting via SSH.
2014/06/17 15:41:44 - 54.184.163.106:  Starting node configuration.
2014/06/17 15:41:44 - 54.203.171.125:  Connecting via SSH.
