2012/02/10 17:16:11 - Connecting to AWS region us-west-2.
2012/02/10 17:16:11 - Calculating new unique cluster name for request 121.
2012/02/10 17:16:13 - Creating new cluster name, Thor-K93V.
2012/02/10 17:16:13 - Creating Thor-K93V security group.
2012/02/10 17:16:17 - Creating Thor-K93V key pair.
2012/02/10 17:16:17 - Launching 5 m1.large nodes using ami-1c78f52c.
2012/02/10 17:16:18 - Reservation ID r-44420774 created.
2012/02/10 17:16:18 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:25 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:31 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:37 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:44 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:50 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:56 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:17:03 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:17:09 - Waiting for 2 of 5 nodes to launch.
2012/02/10 17:17:14 - Pending instances have completed.
2012/02/10 17:17:14 - Checking each node launched properly.
2012/02/10 17:23:27 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:23:34 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:23:40 - Pending instances have completed.
2012/02/10 17:23:40 - Checking each node launched properly.
2012/02/10 17:23:40 - 50.112.33.90:    Checking EC2 instance i-56acef66.
2012/02/10 17:23:40 - 50.112.27.78:    Checking EC2 instance i-58acef68.
2012/02/10 17:23:40 - 50.112.17.20:    Checking EC2 instance i-5aacef6a.
2012/02/10 17:23:40 - 50.112.47.78:    Checking EC2 instance i-5cacef6c.
2012/02/10 17:23:40 - 50.112.6.65:     Checking EC2 instance i-5eacef6e.
2012/02/10 17:23:40 - 50.112.33.90:    Checking EC2 instance is running.
2012/02/10 17:23:40 - 50.112.33.90:    Connecting via SSH.
2012/02/10 17:23:41 - 50.112.27.78:    Checking EC2 instance is running.
2012/02/10 17:23:41 - 50.112.27.78:    Connecting via SSH.
2012/02/10 17:23:41 - 50.112.47.78:    Checking EC2 instance is running.
2012/02/10 17:23:41 - 50.112.47.78:    Connecting via SSH.
2012/02/10 17:23:41 - 50.112.17.20:    Checking EC2 instance is running.
2012/02/10 17:23:41 - 50.112.17.20:    Connecting via SSH.
2012/02/10 17:23:41 - 50.112.6.65:     Checking EC2 instance is running.
2012/02/10 17:23:41 - 50.112.6.65:     Connecting via SSH.
2012/02/10 17:23:42 - 50.112.47.78:    Waiting on SSH connection.
2012/02/10 17:23:44 - 50.112.33.90:    Checking software installation completed.
2012/02/10 17:23:44 - 50.112.33.90:    Waiting for software to install.
2012/02/10 17:23:45 - 50.112.27.78:    Checking software installation completed.
2012/02/10 17:23:45 - 50.112.27.78:    Waiting for software to install.
2012/02/10 17:23:46 - 50.112.6.65:     Checking software installation completed.
2012/02/10 17:23:46 - 50.112.6.65:     Waiting for software to install.
2012/02/10 17:23:47 - 50.112.17.20:    Waiting on SSH connection.
2012/02/10 17:23:51 - 50.112.47.78:    Checking software installation completed.
2012/02/10 17:23:51 - 50.112.47.78:    Waiting for software to install.
2012/02/10 17:23:54 - 50.112.33.90:    Waiting for software to install.
2012/02/10 17:23:56 - 50.112.27.78:    Waiting for software to install.
2012/02/10 17:23:57 - 50.112.6.65:     Waiting for software to install.
2012/02/10 17:23:58 - 50.112.17.20:    Checking software installation completed.
2012/02/10 17:23:58 - 50.112.17.20:    Waiting for software to install.
2012/02/10 17:24:02 - 50.112.47.78:    Waiting for software to install.
2012/02/10 17:24:05 - 50.112.33.90:    Waiting for software to install.
2012/02/10 17:24:06 - 50.112.27.78:    Waiting for software to install.
2012/02/10 17:24:07 - 50.112.6.65:     Waiting for software to install.
2012/02/10 17:24:08 - 50.112.17.20:    Waiting for software to install.
2012/02/10 17:24:12 - 50.112.47.78:    Waiting for software to install.
2012/02/10 17:24:15 - 50.112.33.90:    Waiting for software to install.
2012/02/10 17:24:16 - 50.112.27.78:    Waiting for software to install.
2012/02/10 17:24:17 - 50.112.6.65:     Waiting for software to install.
2012/02/10 17:24:21 - 50.112.17.20:    Waiting for software to install.
