2013/09/14 11:08:46 - Connecting to AWS region us-west-2.
2013/09/14 11:08:47 - Calculating new unique cluster name for request 686.
2013/09/14 11:08:47 - Creating new cluster name, Hpcc-3RUH.
2013/09/14 11:08:47 - Creating Hpcc-3RUH security group.
2013/09/14 11:08:51 - Creating Hpcc-3RUH key pair.
2013/09/14 11:08:53 - Launching 17 m1.large nodes using ami-4dc7577d.
2013/09/14 11:08:54 - Reservation ID r-3848790c created.
2013/09/14 11:08:54 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:04 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:12 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:21 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:29 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:37 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:46 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:55 - Waiting for 16 of 17 nodes to launch.
2013/09/14 11:10:06 - Waiting for 13 of 17 nodes to launch.
2013/09/14 11:10:14 - Waiting for 5 of 17 nodes to launch.
2013/09/14 11:10:21 - Pending instances have completed.
2013/09/14 11:10:21 - Checking each node launched properly.
2013/09/14 11:10:45 - 54.200.50.32:    Starting node configuration.
2013/09/14 11:10:45 - 54.200.49.251:   Starting node configuration.
2013/09/14 11:10:45 - 54.200.50.32:    Connecting via SSH.
2013/09/14 11:10:45 - 54.200.50.30:    Starting node configuration.
2013/09/14 11:10:45 - 54.200.50.30:    Connecting via SSH.
2013/09/14 11:10:45 - 54.200.49.251:   Connecting via SSH.
2013/09/14 11:10:45 - 54.200.50.29:    Starting node configuration.
2013/09/14 11:10:45 - 54.200.50.42:    Starting node configuration.
2013/09/14 11:10:45 - 54.200.50.29:    Connecting via SSH.
2013/09/14 11:10:45 - 54.200.50.42:    Connecting via SSH.
2013/09/14 11:10:45 - 54.200.50.35:    Starting node configuration.
2013/09/14 11:10:45 - 54.200.50.36:    Starting node configuration.
2013/09/14 11:10:45 - 54.200.50.31:    Starting node configuration.
2013/09/14 11:10:45 - 54.200.50.31:    Connecting via SSH.
2013/09/14 11:10:45 - 54.200.50.35:    Connecting via SSH.
2013/09/14 11:10:45 - 54.200.50.36:    Connecting via SSH.
2013/09/14 11:10:45 - 54.200.50.34:    Starting node configuration.
2013/09/14 11:10:45 - 54.200.50.37:    Starting node configuration.
2013/09/14 11:10:45 - 54.200.50.37:    Connecting via SSH.
2013/09/14 11:10:45 - 54.200.50.39:    Starting node configuration.
2013/09/14 11:10:45 - 54.200.50.39:    Connecting via SSH.
2013/09/14 11:10:45 - 54.200.50.38:    Starting node configuration.
2013/09/14 11:10:45 - 54.200.50.34:    Connecting via SSH.
2013/09/14 11:10:45 - 54.200.50.40:    Starting node configuration.
2013/09/14 11:10:45 - 54.200.50.40:    Connecting via SSH.
2013/09/14 11:10:45 - 54.200.50.38:    Connecting via SSH.
2013/09/14 11:10:45 - 54.200.50.41:    Starting node configuration.
2013/09/14 11:10:45 - 54.200.50.41:    Connecting via SSH.
2013/09/14 11:10:45 - 54.200.45.217:   Starting node configuration.
2013/09/14 11:10:45 - 54.200.45.217:   Connecting via SSH.
2013/09/14 11:10:45 - 54.200.50.33:    Starting node configuration.
2013/09/14 11:10:45 - 54.200.50.33:    Connecting via SSH.
2013/09/14 11:10:48 - 54.200.50.32:    Checking software installation completed.
2013/09/14 11:10:48 - 54.200.50.35:    Checking software installation completed.
2013/09/14 11:10:48 - 54.200.50.30:    Checking software installation completed.
2013/09/14 11:10:48 - 54.200.50.41:    Checking software installation completed.
2013/09/14 11:10:48 - 54.200.50.38:    Checking software installation completed.
2013/09/14 11:10:48 - 54.200.44.246:   Checking software installation completed.
2013/09/14 11:10:48 - 54.200.50.29:    Checking software installation completed.
2013/09/14 11:10:48 - 54.200.50.36:    Checking software installation completed.
2013/09/14 11:10:48 - 54.200.50.34:    Checking software installation completed.
2013/09/14 11:10:48 - 54.200.50.42:    Checking software installation completed.
2013/09/14 11:10:48 - 54.200.50.32:    Software installation finished.
2013/09/14 11:10:48 - 54.200.50.32:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:48 - 54.200.50.37:    Checking software installation completed.
2013/09/14 11:10:48 - 54.200.49.251:   Checking software installation completed.
2013/09/14 11:10:48 - 54.200.50.31:    Checking software installation completed.
2013/09/14 11:10:48 - 54.200.50.35:    Software installation finished.
2013/09/14 11:10:48 - 54.200.50.35:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:48 - 54.200.50.30:    Software installation finished.
2013/09/14 11:10:48 - 54.200.50.30:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:48 - 54.200.50.39:    Checking software installation completed.
2013/09/14 11:10:48 - 54.200.50.41:    Software installation finished.
2013/09/14 11:10:48 - 54.200.50.41:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:48 - 54.200.45.217:   Checking software installation completed.
2013/09/14 11:10:48 - 54.200.50.33:    Checking software installation completed.
2013/09/14 11:10:48 - 54.200.44.246:   Software installation finished.
2013/09/14 11:10:48 - 54.200.44.246:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:48 - 54.200.50.38:    Software installation finished.
2013/09/14 11:10:48 - 54.200.50.38:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:48 - 54.200.50.29:    Software installation finished.
2013/09/14 11:10:48 - 54.200.50.29:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:48 - 54.200.50.36:    Software installation finished.
2013/09/14 11:10:48 - 54.200.50.36:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:48 - 54.200.50.34:    Software installation finished.
2013/09/14 11:10:48 - 54.200.50.34:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:48 - 54.200.50.42:    Software installation finished.
2013/09/14 11:10:48 - 54.200.50.42:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:48 - 54.200.50.37:    Software installation finished.
2013/09/14 11:10:48 - 54.200.50.37:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:48 - 54.200.49.251:   Software installation finished.
2013/09/14 11:10:48 - 54.200.49.251:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:48 - 54.200.50.31:    Software installation finished.
2013/09/14 11:10:48 - 54.200.50.31:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:48 - 54.200.45.217:   Software installation finished.
2013/09/14 11:10:48 - 54.200.45.217:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:48 - 54.200.50.39:    Software installation finished.
2013/09/14 11:10:48 - 54.200.50.39:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:48 - 54.200.50.33:    Software installation finished.
2013/09/14 11:10:48 - 54.200.50.33:    Sending /home/ubuntu/node_health_script via SFTP.
